"Year","State","Species","Product_Type","Unit","Value","CV...."
2018,"US","MOLLUSKS","ALL PRODUCTS","OPERATIONS",884,"3.5"
2018,"US","MOLLUSKS","ALL PRODUCTS","DOLLARS",441801000,"5.3"
2018,"US","MOLLUSKS","ALL PRODUCTS","DOLLARS_PER_OPERATION",499775,"6.6"
2018,"US","MOLLUSKS","ALL PRODUCTS","PCT BT SIZE GROUP",100,"0.0"
2018,"US","ABALONE","ALL PRODUCTS","OPERATIONS",4,"(NA)"
2018,"US","ABALONE","ALL PRODUCTS","DOLLARS",6432000,"(NA)"
2018,"US","ABALONE","FOODSIZE","OPERATIONS",4,"(NA)"
2018,"US","ABALONE","FOODSIZE","DOLLARS",6432000,"(NA)"
2018,"US","ABALONE","FOODSIZE","HEAD",1882000,"(NA)"
2018,"US","ABALONE","FOODSIZE","HEAD_PER_LB",6,"(NA)"
2018,"US","ABALONE","FOODSIZE","LB",339000,"(NA)"
2018,"US","CLAMS","ALL PRODUCTS","OPERATIONS",312,"6.7"
2018,"US","CLAMS","ALL PRODUCTS","DOLLARS",136153000,"2.3"
2018,"US","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",23,"16.0"
2018,"US","OTHER CLAMS","ALL PRODUCTS","DOLLARS",4314000,"3.0"
2018,"US","OTHER CLAMS","FOODSIZE","OPERATIONS",19,"19.3"
2018,"US","OTHER CLAMS","FOODSIZE","DOLLARS",NA,"(D)"
2018,"US","OTHER CLAMS","FOODSIZE","HEAD",15259000,"6.7"
2018,"US","OTHER CLAMS","FOODSIZE","HEAD_PER_LB",14,"7.0"
2018,"US","OTHER CLAMS","FOODSIZE","LB",1066000,"9.5"
2018,"US","OTHER CLAMS","LARVAE & SEED","OPERATIONS",4,"47.4"
2018,"US","OTHER CLAMS","LARVAE & SEED","DOLLARS",NA,"(D)"
2018,"US","GEODUCK CLAMS","ALL PRODUCTS","OPERATIONS",25,"26.8"
2018,"US","GEODUCK CLAMS","ALL PRODUCTS","DOLLARS",47093000,"5.2"
2018,"US","GEODUCK CLAMS","FOODSIZE","OPERATIONS",22,"26.2"
2018,"US","GEODUCK CLAMS","FOODSIZE","DOLLARS",46447000,"4.3"
2018,"US","GEODUCK CLAMS","FOODSIZE","HEAD",2950000,"5.3"
2018,"US","GEODUCK CLAMS","FOODSIZE","HEAD_PER_LB",1,"0.4"
2018,"US","GEODUCK CLAMS","FOODSIZE","LB",3200000,"4.9"
2018,"US","GEODUCK CLAMS","LARVAE & SEED","OPERATIONS",3,"70.7"
2018,"US","GEODUCK CLAMS","LARVAE & SEED","DOLLARS",646000,"89.6"
2018,"US","HARD CLAMS","ALL PRODUCTS","OPERATIONS",218,"5.4"
