"Year","State","State_Code","Ag.District","Ag.District.Code","County","County.ANSI","Commodity","Species","Product_Type","Unit","Value","CV....","Wholesale_Type"
2019,"US",0,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,19504,"0.8",NA
2019,"US",0,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,121,"6.9",NA
2019,"ALABAMA",1,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,1530,"0.5",NA
2019,"ALABAMA",1,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,20,"11.6",NA
2019,"ARIZONA",4,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,NA,"(NA)",NA
2019,"ARIZONA",4,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,1,"(NA)",NA
2019,"ARKANSAS",5,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,970,"6.6",NA
2019,"ARKANSAS",5,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,6,"35.4",NA
2019,"CALIFORNIA",6,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,NA,"(NA)",NA
2019,"CALIFORNIA",6,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,2,"(NA)",NA
2019,"FLORIDA",12,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,NA,"(D)",NA
2019,"FLORIDA",12,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,3,"94.9",NA
2019,"GEORGIA",13,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,46,"(H)",NA
2019,"GEORGIA",13,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,6,"89.4",NA
2019,"HAWAII",15,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,3,"31.6",NA
2019,"HAWAII",15,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,3,"31.6",NA
2019,"IDAHO",16,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,NA,"(NA)",NA
