"Year","State","State_Code","Commodity","Species","Product_Type","Unit","Value","CV....","Wholesale_Type"
2018,"US",0,"MOLLUSKS","MOLLUSKS","ALL PRODUCTS","OPERATIONS",884,"3.5",NA
2018,"US",0,"MOLLUSKS","MOLLUSKS","ALL PRODUCTS","DOLLARS",441801000,"5.3",NA
2018,"US",0,"MOLLUSKS","MOLLUSKS","ALL PRODUCTS","DOLLARS_PER_OPERATION",499775,"6.6",NA
2018,"US",0,"MOLLUSKS","MOLLUSKS","ALL PRODUCTS","PCT BT SIZE GROUP",100,"0.0",NA
2018,"US",0,"MOLLUSKS","ABALONE","ALL PRODUCTS","OPERATIONS",4,"(NA)",NA
2018,"US",0,"MOLLUSKS","ABALONE","ALL PRODUCTS","DOLLARS",6432000,"(NA)",NA
2018,"US",0,"MOLLUSKS","ABALONE","FOODSIZE","OPERATIONS",4,"(NA)",NA
2018,"US",0,"MOLLUSKS","ABALONE","FOODSIZE","DOLLARS",6432000,"(NA)",NA
2018,"US",0,"MOLLUSKS","ABALONE","FOODSIZE","HEAD",1882000,"(NA)",NA
2018,"US",0,"MOLLUSKS","ABALONE","FOODSIZE","HEAD_PER_LB",6,"(NA)",NA
2018,"US",0,"MOLLUSKS","ABALONE","FOODSIZE","LB",339000,"(NA)",NA
2018,"US",0,"MOLLUSKS","CLAMS","ALL PRODUCTS","OPERATIONS",312,"6.7",NA
2018,"US",0,"MOLLUSKS","CLAMS","ALL PRODUCTS","DOLLARS",136153000,"2.3",NA
2018,"US",0,"MOLLUSKS","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",23,"16.0",NA
2018,"US",0,"MOLLUSKS","OTHER CLAMS","ALL PRODUCTS","DOLLARS",4314000,"3.0",NA
2018,"US",0,"MOLLUSKS","OTHER CLAMS","FOODSIZE","OPERATIONS",19,"19.3",NA
2018,"US",0,"MOLLUSKS","OTHER CLAMS","FOODSIZE","DOLLARS",NA,"(D)",NA
2018,"US",0,"MOLLUSKS","OTHER CLAMS","FOODSIZE","HEAD",15259000,"6.7",NA
2018,"US",0,"MOLLUSKS","OTHER CLAMS","FOODSIZE","HEAD_PER_LB",14,"7.0",NA
2018,"US",0,"MOLLUSKS","OTHER CLAMS","FOODSIZE","LB",1066000,"9.5",NA
2018,"US",0,"MOLLUSKS","OTHER CLAMS","LARVAE & SEED","OPERATIONS",4,"47.4",NA
2018,"US",0,"MOLLUSKS","OTHER CLAMS","LARVAE & SEED","DOLLARS",NA,"(D)",NA
2018,"US",0,"MOLLUSKS","GEODUCK CLAMS","ALL PRODUCTS","OPERATIONS",25,"26.8",NA
2018,"US",0,"MOLLUSKS","GEODUCK CLAMS","ALL PRODUCTS","DOLLARS",47093000,"5.2",NA
2018,"US",0,"MOLLUSKS","GEODUCK CLAMS","FOODSIZE","OPERATIONS",22,"26.2",NA
2018,"US",0,"MOLLUSKS","GEODUCK CLAMS","FOODSIZE","DOLLARS",46447000,"4.3",NA
2018,"US",0,"MOLLUSKS","GEODUCK CLAMS","FOODSIZE","HEAD",2950000,"5.3",NA
2018,"US",0,"MOLLUSKS","GEODUCK CLAMS","FOODSIZE","HEAD_PER_LB",1,"0.4",NA
2018,"US",0,"MOLLUSKS","GEODUCK CLAMS","FOODSIZE","LB",3200000,"4.9",NA
2018,"US",0,"MOLLUSKS","GEODUCK CLAMS","LARVAE & SEED","OPERATIONS",3,"70.7",NA
2018,"US",0,"MOLLUSKS","GEODUCK CLAMS","LARVAE & SEED","DOLLARS",646000,"89.6",NA
2018,"US",0,"MOLLUSKS","HARD CLAMS","ALL PRODUCTS","OPERATIONS",218,"5.4",NA
2018,"US",0,"MOLLUSKS","HARD CLAMS","ALL PRODUCTS","DOLLARS",55906000,"3.6",NA
2018,"US",0,"MOLLUSKS","HARD CLAMS","BROODSTOCK","OPERATIONS",10,"46.5",NA
2018,"US",0,"MOLLUSKS","HARD CLAMS","BROODSTOCK","DOLLARS",1531000,"66.9",NA
2018,"US",0,"MOLLUSKS","HARD CLAMS","BROODSTOCK","HEAD",8725000,"59.5",NA
2018,"US",0,"MOLLUSKS","HARD CLAMS","FOODSIZE","OPERATIONS",198,"7.4",NA
2018,"US",0,"MOLLUSKS","HARD CLAMS","FOODSIZE","DOLLARS",52096000,"3.2",NA
2018,"US",0,"MOLLUSKS","HARD CLAMS","FOODSIZE","HEAD",368259000,"6.4",NA
2018,"US",0,"MOLLUSKS","HARD CLAMS","FOODSIZE","HEAD_PER_LB",9,"7.9",NA
2018,"US",0,"MOLLUSKS","HARD CLAMS","FOODSIZE","LB",41391000,"9.9",NA
2018,"US",0,"MOLLUSKS","HARD CLAMS","LARVAE & SEED","OPERATIONS",17,"21.6",NA
2018,"US",0,"MOLLUSKS","HARD CLAMS","LARVAE & SEED","DOLLARS",2279000,"10.5",NA
2018,"US",0,"MOLLUSKS","MANILA CLAMS","ALL PRODUCTS","OPERATIONS",66,"15.7",NA
2018,"US",0,"MOLLUSKS","MANILA CLAMS","ALL PRODUCTS","DOLLARS",28841000,"9.4",NA
2018,"US",0,"MOLLUSKS","MANILA CLAMS","FOODSIZE","OPERATIONS",59,"17.5",NA
2018,"US",0,"MOLLUSKS","MANILA CLAMS","FOODSIZE","DOLLARS",NA,"(D)",NA
2018,"US",0,"MOLLUSKS","MANILA CLAMS","FOODSIZE","HEAD",157987000,"8.8",NA
2018,"US",0,"MOLLUSKS","MANILA CLAMS","FOODSIZE","HEAD_PER_LB",17,"2.6",NA
2018,"US",0,"MOLLUSKS","MANILA CLAMS","FOODSIZE","LB",9199000,"6.3",NA
2018,"US",0,"MOLLUSKS","MANILA CLAMS","LARVAE & SEED","OPERATIONS",7,"(NA)",NA
2018,"US",0,"MOLLUSKS","MANILA CLAMS","LARVAE & SEED","DOLLARS",NA,"(NA)",NA
2018,"US",0,"MOLLUSKS","MUSSELS","ALL PRODUCTS","OPERATIONS",33,"15.7",NA
2018,"US",0,"MOLLUSKS","MUSSELS","ALL PRODUCTS","DOLLARS",9860000,"6.2",NA
2018,"US",0,"MOLLUSKS","MUSSELS","FOODSIZE","OPERATIONS",28,"24.4",NA
2018,"US",0,"MOLLUSKS","MUSSELS","FOODSIZE","DOLLARS",9610000,"6.6",NA
2018,"US",0,"MOLLUSKS","MUSSELS","FOODSIZE","HEAD",86790000,"7.8",NA
2018,"US",0,"MOLLUSKS","MUSSELS","FOODSIZE","HEAD_PER_LB",18,"0.7",NA
2018,"US",0,"MOLLUSKS","MUSSELS","FOODSIZE","LB",4774000,"7.1",NA
2018,"US",0,"MOLLUSKS","MUSSELS","LARVAE & SEED","OPERATIONS",5,"60.0",NA
2018,"US",0,"MOLLUSKS","MUSSELS","LARVAE & SEED","DOLLARS",250000,"36.0",NA
2018,"US",0,"MOLLUSKS","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",18,"36.5",NA
2018,"US",0,"MOLLUSKS","OTHER SPECIES","ALL PRODUCTS","DOLLARS",4418000,"3.0",NA
2018,"US",0,"MOLLUSKS","OTHER SPECIES","FOODSIZE","OPERATIONS",12,"34.5",NA
2018,"US",0,"MOLLUSKS","OTHER SPECIES","FOODSIZE","DOLLARS",NA,"(D)",NA
2018,"US",0,"MOLLUSKS","OTHER SPECIES","FOODSIZE","HEAD",NA,"(D)",NA
2018,"US",0,"MOLLUSKS","OTHER SPECIES","FOODSIZE","HEAD_PER_LB",NA,"(D)",NA
2018,"US",0,"MOLLUSKS","OTHER SPECIES","FOODSIZE","LB",NA,"(D)",NA
2018,"US",0,"MOLLUSKS","OTHER SPECIES","LARVAE & SEED","OPERATIONS",8,"53.0",NA
2018,"US",0,"MOLLUSKS","OTHER SPECIES","LARVAE & SEED","DOLLARS",NA,"(D)",NA
2018,"US",0,"MOLLUSKS","OTHER SPECIES","OTHER SIZES","OPERATIONS",2,"82.2",NA
2018,"US",0,"MOLLUSKS","OTHER SPECIES","OTHER SIZES","DOLLARS",NA,"(D)",NA
2018,"US",0,"MOLLUSKS","OYSTERS","ALL PRODUCTS","OPERATIONS",701,"4.0",NA
2018,"US",0,"MOLLUSKS","OYSTERS","ALL PRODUCTS","DOLLARS",284938000,"8.0",NA
2018,"US",0,"MOLLUSKS","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",44,"17.5",NA
2018,"US",0,"MOLLUSKS","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",61086000,"46.6",NA
2018,"US",0,"MOLLUSKS","OTHER OYSTERS","FOODSIZE","OPERATIONS",42,"18.4",NA
2018,"US",0,"MOLLUSKS","OTHER OYSTERS","FOODSIZE","DOLLARS",NA,"(D)",NA
2018,"US",0,"MOLLUSKS","OTHER OYSTERS","FOODSIZE","HEAD",124189000,"25.8",NA
2018,"US",0,"MOLLUSKS","OTHER OYSTERS","FOODSIZE","HEAD_PER_LB",3,"10.3",NA
2018,"US",0,"MOLLUSKS","OTHER OYSTERS","FOODSIZE","LB",38897000,"34.1",NA
2018,"US",0,"MOLLUSKS","OTHER OYSTERS","LARVAE & SEED","OPERATIONS",2,"(NA)",NA
2018,"US",0,"MOLLUSKS","OTHER OYSTERS","LARVAE & SEED","DOLLARS",NA,"(NA)",NA
2018,"US",0,"MOLLUSKS","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",528,"5.0",NA
2018,"US",0,"MOLLUSKS","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",134385000,"4.8",NA
2018,"US",0,"MOLLUSKS","EASTERN OYSTERS","BROODSTOCK","OPERATIONS",3,"77.5",NA
2018,"US",0,"MOLLUSKS","EASTERN OYSTERS","BROODSTOCK","DOLLARS",NA,"(D)",NA
2018,"US",0,"MOLLUSKS","EASTERN OYSTERS","BROODSTOCK","HEAD",NA,"(D)",NA
2018,"US",0,"MOLLUSKS","EASTERN OYSTERS","FOODSIZE","OPERATIONS",515,"5.2",NA
2018,"US",0,"MOLLUSKS","EASTERN OYSTERS","FOODSIZE","DOLLARS",129754000,"5.0",NA
2018,"US",0,"MOLLUSKS","EASTERN OYSTERS","FOODSIZE","HEAD",406972000,"5.4",NA
2018,"US",0,"MOLLUSKS","EASTERN OYSTERS","FOODSIZE","HEAD_PER_LB",5,"4.5",NA
2018,"US",0,"MOLLUSKS","EASTERN OYSTERS","FOODSIZE","LB",76548000,"9.2",NA
2018,"US",0,"MOLLUSKS","EASTERN OYSTERS","LARVAE & SEED","OPERATIONS",34,"11.8",NA
2018,"US",0,"MOLLUSKS","EASTERN OYSTERS","LARVAE & SEED","DOLLARS",NA,"(D)",NA
2018,"US",0,"MOLLUSKS","PACIFIC OYSTERS","ALL PRODUCTS","OPERATIONS",145,"10.6",NA
2018,"US",0,"MOLLUSKS","PACIFIC OYSTERS","ALL PRODUCTS","DOLLARS",89467000,"9.9",NA
2018,"US",0,"MOLLUSKS","PACIFIC OYSTERS","FOODSIZE","OPERATIONS",139,"9.9",NA
2018,"US",0,"MOLLUSKS","PACIFIC OYSTERS","FOODSIZE","DOLLARS",83146000,"10.9",NA
2018,"US",0,"MOLLUSKS","PACIFIC OYSTERS","FOODSIZE","HEAD",168237000,"9.2",NA
2018,"US",0,"MOLLUSKS","PACIFIC OYSTERS","FOODSIZE","HEAD_PER_LB",3,"1.7",NA
2018,"US",0,"MOLLUSKS","PACIFIC OYSTERS","FOODSIZE","LB",52463000,"9.7",NA
2018,"US",0,"MOLLUSKS","PACIFIC OYSTERS","LARVAE & SEED","OPERATIONS",13,"34.2",NA
2018,"US",0,"MOLLUSKS","PACIFIC OYSTERS","LARVAE & SEED","DOLLARS",6321000,"8.8",NA
2018,"US",0,"MOLLUSKS",NA,"RETAIL","PCT BY OUTLET",4,"6.1",NA
2018,"US",0,"MOLLUSKS",NA,"WHOLESALE","PCT BY OUTLET",15,"11.0","DIRECT TO RETAILER"
2018,"US",0,"MOLLUSKS",NA,"WHOLESALE","PCT BY OUTLET",5,"5.5","EXPORTS"
2018,"US",0,"MOLLUSKS",NA,"WHOLESALE","PCT BY OUTLET",NA,"(D)","GOVT"
2018,"US",0,"MOLLUSKS",NA,"WHOLESALE","PCT BY OUTLET",19,"6.1","LIVE HAULERS & BROKERS"
2018,"US",0,"MOLLUSKS",NA,"WHOLESALE","PCT BY OUTLET",4,"6.1","OTHER OUTLETS"
2018,"US",0,"MOLLUSKS",NA,"WHOLESALE","PCT BY OUTLET",24,"14.7","OTHER PRODUCERS"
2018,"US",0,"MOLLUSKS",NA,"WHOLESALE","PCT BY OUTLET",29,"19.2","PROCESSOR"
2018,"US",0,"MOLLUSKS",NA,"WHOLESALE","PCT BY OUTLET",NA,"(D)","RECREATIONAL STOCKING"
