BAP_No,Location,Country,Facility_Type,Species,Expiration,Rating
F10766,Australis Mar S.A. - Centro Morgan,Chile,salmonfarm,Salmon,fallow,
F10770C,AMS - Cluster 4 - Sanit Farm,Thailand,farm,Shrimp,11/9/2014,
F10780,"Gallant Dachan Seafood Co., Ltd",Viet Nam,farm,Shrimp,12/4/2014,
F10798A,BMR Industries Private Limited IOM1 - M/s Sharani Sindhu Shrimp Farms,India,farm,Shrimp,3/31/2015,
F10798B,BMR Industries Private Limited IOM1 - Shri Beeda Ravichandra,India,farm,Shrimp,3/31/2015,
F10816D,AMS - Cluster 6 - S. Siam Farm,Thailand,farm,Shrimp,1/3/2015,
F10816E,AMS - Cluster 6 - Thavee Farm,Thailand,farm,Shrimp,1/3/2015,
F10060,PT. Lima Satu Lapan,Indonesia,farm,Shrimp,4/11/2015,
F10100C,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - Srisuban Farm 6,Thailand,farm,Shrimp,10/26/2014,
F10106,Sinphirom Farm - May Ao,Thailand,farm,Shrimp,1/24/2015,
F10111,Guangdong Gourmet Wuchuan Tilapia Farm Base,China,farm,Tilapia,10/13/2015,
F10167C,Xian-Ning Seafood - Cluster 2 -Kwanjai Farm,Thailand,farm,Shrimp,2/11/2015,
F10265,Devi Fisheries Limited,India,farm,Shrimp,1/17/2015,
F10267B,Cermaq Canada Ltd. - Raza Island,Canada,salmonfarm,Salmon,fallow,
F10267K,Cermaq Canada Ltd. - Plover Point,Canada,salmonfarm,Salmon,fallow,
F10267P,Cermaq Canada Ltd. - Ross Pass,Canada,salmonfarm,Salmon,1/21/2015,
F10268H,"Grieg Seafood BC, Ltd. Module 1 - Concepcion Farm  - West",Canada,salmonfarm,Salmon,12/20/2014,
F10283,PT. Delta Guna Sukses,Indonesia,farm,Shrimp,6/26/2015,
F10290O,Marine Harvest Canada Inc. - Group Program - Kid Bay Site,Canada,salmonfarm,Salmon,12/19/2014,
F10296F,Northern Harvest Sea Farms NL Ltd. - Cluster - Harvey's Hill North,Canada,salmonfarm,Salmon,fallow,
F10302N,Cooke Aquaculture Chile S.A. - Cluster - Mentirosa 03,Chile,salmonfarm,Salmon,8/29/2015,
F10313J,Good Luck - Cluster 4 - Phet Ploy Farm,Thailand,farm,Shrimp,1/7/2015,
F10328H,Salmones Blumar S.A. - Williams 1,Chile,salmonfarm,Salmon,fallow,
F10350A,Asvini IOM Farm Group 1 - Ch. Narasimha Raju,India,farm,Shrimp,6/7/2015,
F10350E,Asvini Fisheries Private Limited IOM 1 - Vundavalli Sailaja,India,farm,Shrimp,6/7/2015,
